student_id,course_type,institute_tier,region,target_sector,cgpa,academic_consistency_score,num_internships,internship_months,internship_employer_type,internship_performance,num_certifications,certifications,institute_placement_rate_3m,institute_placement_rate_6m,institute_placement_rate_12m,institute_avg_salary_lpa,placement_cell_score,recruiter_diversity_score,job_demand_score,region_job_density,sector_growth_rate,job_applications_per_week,interviews_attended,resume_updated_recently,linkedin_active,internship_quality_score,skill_relevance_score,institute_strength_index,placed_3m,placed_6m,placed_12m,actual_salary_lpa
STU0001,Commerce,Tier 1,Mumbai,Consulting,7.66,69.0,2,6,Startup,3.0,4,Java|AWS|SQL|Digital Marketing,0.6,0.7,0.7999999999999999,9.9,0.79,0.84,0.4,0.43,0.05,29,13,1,0,0.62,0.7,0.78,0,0,1,11.3
STU0002,Engineering,Tier 1,Bangalore,Manufacturing,5.53,66.2,0,0,None,0.0,1,Java,0.93,1.0,1.0,29.5,0.93,0.98,0.93,0.68,0.27,7,13,1,1,0.16,0.48,0.97,1,1,1,16.8
STU0003,Commerce,Tier 3,Kolkata,Manufacturing,5.36,75.6,2,8,SME,3.6,0,None,0.47,0.6599999999999999,0.7799999999999999,5.7,0.88,0.5,0.37,0.5,0.17,4,2,0,1,0.58,0.3,0.7,0,0,0,3.9
STU0004,Arts,Tier 1,Kolkata,FMCG,6.62,79.4,1,5,PSU,4.0,3,AWS|Java|Power BI,0.9,0.96,1.0,5.0,0.98,0.92,0.74,0.9,0.22,11,3,1,1,0.56,0.82,0.96,0,0,1,7.7
STU0005,Nursing,Tier 1,Chennai,FMCG,7.41,30.0,1,3,NGO,3.6,1,Machine Learning,0.41,0.5,0.6,5.2,0.79,0.61,0.73,0.6,-0.08,4,0,1,0,0.5,0.18,0.65,0,1,1,6.2
STU0006,Law,Tier 1,Kolkata,BFSI,7.27,81.0,1,1,NGO,3.3,1,Machine Learning,0.74,0.9,1.0,15.2,0.73,0.98,0.58,0.61,0.24,10,11,0,1,0.44,0.48,0.86,0,0,1,17.0
STU0007,Commerce,Tier 1,Mumbai,Manufacturing,6.0,58.8,1,1,PSU,4.3,0,None,0.74,0.81,0.93,6.0,0.75,0.82,0.78,0.72,-0.01,0,3,1,1,0.52,0.3,0.79,1,1,1,10.1
STU0008,Arts,Tier 1,Kolkata,Consulting,5.82,89.2,3,15,SME,4.0,3,React|Power BI|AWS,0.45,0.63,0.7,7.0,0.87,0.91,0.33,1.0,0.09,13,4,0,0,0.68,0.52,0.81,0,0,0,7.2
STU0009,MBA,Tier 3,Pune,BFSI,6.67,81.0,3,18,NGO,3.2,2,React|AWS,0.4,0.55,0.67,6.2,0.43,0.83,0.87,0.89,0.27,25,6,1,1,0.62,0.65,0.59,0,0,0,7.1
STU0010,Nursing,Tier 2,Pune,Manufacturing,5.89,62.1,1,2,PSU,4.7,1,Python,0.14,0.33,0.43000000000000005,5.5,0.52,0.59,0.79,0.31,-0.05,17,11,1,1,0.57,0.48,0.48,0,1,1,3.3
STU0011,Arts,Tier 2,Kolkata,Consulting,8.79,55.9,3,3,MNC,4.9,2,Java|Cybersecurity,0.62,0.72,0.85,3.1,0.47,0.33,0.33,0.88,0.18,11,9,0,1,0.84,0.65,0.5,1,1,1,5.9
STU0012,Commerce,Tier 2,Kolkata,EdTech,8.77,57.7,1,5,Startup,4.4,2,Machine Learning|AWS,0.42,0.56,0.6200000000000001,8.9,0.89,0.74,0.87,0.72,-0.02,28,12,1,0,0.72,0.35,0.75,1,1,1,6.7
STU0013,Commerce,Tier 3,Kolkata,Pharma,4.09,38.8,2,4,PSU,4.3,3,Java|AWS|Digital Marketing,0.32,0.48,0.61,6.0,0.53,0.43,0.84,0.47,0.27,4,11,0,1,0.57,0.82,0.48,0,1,1,3.6
STU0014,Arts,Tier 1,Bangalore,Healthcare,5.98,54.2,0,0,None,0.0,1,React,0.75,0.85,0.97,8.5,0.94,0.92,0.36,0.6,-0.08,25,4,1,0,0.16,0.18,0.91,0,0,0,6.4
STU0015,Law,Tier 1,Kolkata,Pharma,7.11,81.9,1,6,NGO,5.0,1,PMP,0.87,1.0,1.0,11.3,0.93,0.82,0.6,0.93,-0.06,2,12,0,1,0.66,0.48,0.92,1,1,1,17.5
STU0016,Commerce,Tier 3,Bangalore,Consulting,7.18,65.5,3,12,PSU,5.0,1,SQL,0.23,0.32,0.44,2.3,0.33,0.3,0.51,1.0,0.18,2,6,0,0,0.76,0.18,0.32,1,1,1,3.5
STU0017,MBA,Tier 2,Mumbai,Consulting,8.61,40.2,0,0,None,0.0,3,Digital Marketing|AWS|Tableau,0.41,0.59,0.64,8.3,0.63,0.87,0.99,0.32,0.14,24,5,1,0,0.16,0.52,0.69,1,1,1,13.5
STU0018,Arts,Tier 3,Hyderabad,Healthcare,5.14,73.3,1,1,PSU,3.3,4,AWS|Digital Marketing|React|Python,0.07,0.17,0.23,4.0,0.62,0.8,0.66,0.88,0.12,4,13,0,0,0.44,0.7,0.54,1,1,1,3.8
STU0019,Engineering,Tier 1,Chennai,Consulting,7.21,29.9,1,6,Startup,3.9,3,Python|Java|Cybersecurity,0.96,1.0,1.0,25.8,0.72,0.62,0.73,0.48,-0.02,10,10,1,1,0.69,0.82,0.77,1,1,1,22.1
STU0020,Commerce,Tier 2,Bangalore,Healthcare,7.98,70.4,1,5,Startup,3.1,1,React,0.76,0.88,1.0,7.1,0.49,0.56,0.3,0.89,-0.07,2,12,0,1,0.61,0.48,0.63,0,0,0,7.5
STU0021,Data Science,Tier 3,Kolkata,Manufacturing,6.81,57.9,0,0,None,0.0,3,Digital Marketing|Java|Machine Learning,0.44,0.52,0.63,9.0,0.27,0.58,0.46,0.47,0.09,9,2,0,0,0.16,0.52,0.44,0,0,0,6.3
STU0022,Nursing,Tier 3,Ahmedabad,BFSI,9.56,90.0,1,1,Startup,3.5,0,None,0.43,0.52,0.5900000000000001,4.7,0.26,0.57,0.59,0.99,-0.06,1,3,1,1,0.58,0.3,0.43,0,0,0,3.2
STU0023,Data Science,Tier 1,Hyderabad,Manufacturing,6.55,81.6,1,1,MNC,4.5,1,SQL,0.81,1.0,1.0,26.5,0.81,0.78,0.68,0.64,-0.02,7,1,1,1,0.78,0.48,0.86,1,1,1,25.0
STU0024,Engineering,Tier 1,Chennai,BFSI,6.51,60.5,1,3,NGO,3.1,2,Java|Machine Learning,0.74,0.82,0.8899999999999999,15.0,0.94,0.87,0.67,0.49,0.25,24,1,0,1,0.46,0.65,0.88,0,1,1,20.0
STU0025,Law,Tier 1,Ahmedabad,Manufacturing,4.72,71.4,2,6,SME,3.9,1,CFA,0.63,0.75,0.87,18.6,1.0,0.9,0.79,0.82,-0.04,3,5,1,1,0.57,0.48,0.9,0,1,1,15.9
STU0026,Engineering,Tier 3,Kolkata,FMCG,8.23,58.7,2,6,SME,4.3,2,CFA|PMP,0.74,0.9299999999999999,1.0,5.0,0.57,0.95,0.41,0.67,0.1,24,0,1,1,0.6,0.65,0.79,1,1,1,6.7
STU0027,Engineering,Tier 2,Chennai,BFSI,8.41,52.5,3,3,Startup,3.2,4,Java|Tableau|Digital Marketing|PMP,0.41,0.52,0.5800000000000001,9.0,0.88,0.3,0.53,0.52,0.11,10,5,1,0,0.59,0.7,0.6,1,1,1,11.8
STU0028,MBA,Tier 2,Ahmedabad,Manufacturing,6.78,52.0,1,6,MNC,3.4,0,None,0.56,0.74,0.84,10.2,0.58,0.52,0.58,0.54,0.22,29,13,0,1,0.77,0.3,0.61,1,1,1,13.4
STU0029,Engineering,Tier 3,Mumbai,BFSI,5.03,94.7,2,6,Startup,3.7,1,AWS,0.06,0.22,0.33999999999999997,3.1,0.38,0.31,0.77,0.22,-0.06,14,4,0,0,0.68,0.18,0.31,1,1,1,4.4
STU0030,Nursing,Tier 1,Kolkata,IT,7.43,49.0,1,2,Startup,3.0,0,None,0.91,1.0,1.0,5.0,0.81,0.84,0.49,0.7,0.06,29,8,0,1,0.55,0.3,0.88,0,0,1,5.5
STU0031,Nursing,Tier 2,Ahmedabad,Consulting,5.73,65.3,2,2,SME,3.3,2,Tableau|Digital Marketing,0.45,0.5,0.64,3.4,0.75,0.49,0.69,0.72,0.23,22,4,0,1,0.46,0.65,0.6,0,1,1,5.1
STU0032,MBA,Tier 2,Hyderabad,IT,5.98,61.9,1,3,NGO,3.7,2,Tableau|Digital Marketing,0.84,1.0,1.0,10.6,0.42,0.48,0.72,0.24,0.1,12,10,1,0,0.51,0.35,0.61,1,1,1,12.5
STU0033,Engineering,Tier 1,Ahmedabad,Healthcare,7.68,56.7,2,12,MNC,3.0,0,None,0.88,1.0,1.0,13.6,0.99,0.9,0.75,0.81,0.19,15,5,1,1,0.84,0.3,0.97,1,1,1,22.3
